Player,testid,Date,TestName,MetricName,MetricValue
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Left Avg. Propulsive Force(N),1267.3524
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Braking Phase %,16.2726
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Avg. Braking RFD(%),0.6948
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Relative Propulsive Net Impulse(N.s/kg),3.6452
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Braking Impulse Index(%),-1.9424
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Relative Propulsive Power(W/kg),52.4138
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Propulsive Phase %,29.2072
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Braking Velocity(m/s),-1.0913
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Landing Force(N),1328.445
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Braking Net Impulse(N.s),150.5176
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Left Force at Peak Landing Force(N),1740
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Propulsive Power(W),4817.6935
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,System Weight(N),901.7017
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Left Avg. Braking Force(N),1088.1453
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Avg. Landing Force(N),527.9061
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Peak Braking Force(%),1.402
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Force at Peak Landing Force(N),1458
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Jump Height(m),0.6734
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Braking Power(W),-2773.8157
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Relative Braking Power(W/kg),-30.1775
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Propulsive Impulse(N.s),523.5105
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Propulsive Impulse Index(%),2.7165
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Avg. Landing Force(%),20.5227
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Velocity(m/s),3.6975
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Force at Min Displacement(N),3053
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Landing Stiffness(N/m),-5115.7078
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Avg. Braking Force(%),-0.9588
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Relative Braking Force(%),243.6902
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Relative Propulsive Force(%),338.582
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Unweighting Phase %,54.5202
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Braking Force(N),2197.359
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Propulsive Phase(s),0.21
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Relative Braking Impulse(N.s/kg),2.7755
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Braking RFD(N/s),18452.9915
